file_path,file_name,file_id,label,kfold
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.0.jpg,cat.0.jpg,0,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.1.jpg,cat.1.jpg,1,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10.jpg,cat.10.jpg,10,0,3
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.100.jpg,cat.100.jpg,100,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.1000.jpg,cat.1000.jpg,1000,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10000.jpg,cat.10000.jpg,10000,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10001.jpg,cat.10001.jpg,10001,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10002.jpg,cat.10002.jpg,10002,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10003.jpg,cat.10003.jpg,10003,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10004.jpg,cat.10004.jpg,10004,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10005.jpg,cat.10005.jpg,10005,0,3
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10006.jpg,cat.10006.jpg,10006,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10007.jpg,cat.10007.jpg,10007,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10008.jpg,cat.10008.jpg,10008,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10009.jpg,cat.10009.jpg,10009,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.1001.jpg,cat.1001.jpg,1001,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10010.jpg,cat.10010.jpg,10010,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10011.jpg,cat.10011.jpg,10011,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10012.jpg,cat.10012.jpg,10012,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10013.jpg,cat.10013.jpg,10013,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10014.jpg,cat.10014.jpg,10014,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10015.jpg,cat.10015.jpg,10015,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10016.jpg,cat.10016.jpg,10016,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10017.jpg,cat.10017.jpg,10017,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10018.jpg,cat.10018.jpg,10018,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10019.jpg,cat.10019.jpg,10019,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.1002.jpg,cat.1002.jpg,1002,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10020.jpg,cat.10020.jpg,10020,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10021.jpg,cat.10021.jpg,10021,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10022.jpg,cat.10022.jpg,10022,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10023.jpg,cat.10023.jpg,10023,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10024.jpg,cat.10024.jpg,10024,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10025.jpg,cat.10025.jpg,10025,0,3
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10026.jpg,cat.10026.jpg,10026,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10027.jpg,cat.10027.jpg,10027,0,1
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10028.jpg,cat.10028.jpg,10028,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10029.jpg,cat.10029.jpg,10029,0,3
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.1003.jpg,cat.1003.jpg,1003,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10030.jpg,cat.10030.jpg,10030,0,4
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10031.jpg,cat.10031.jpg,10031,0,0
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10032.jpg,cat.10032.jpg,10032,0,2
E:/data/DogCat/dogs-vs-cats-redux-kernels-edition/train/train\cat.10033.jpg,cat.10033.jpg,10033,0,2
